,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,n_articles
2935,Slaapkamerproblemen opgelost met autotechniek,Ford gaat bedproblemen te lijf met autotechnologie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1994,Knegt mist EK na ongeluk met heftruck,Knegt mist EK na beknelling met heftruck,Zware beenblessure Sjinkie Knegt na ongeluk met heftruck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2160,Model Lotte van der Zee (20) overleden,Model Lotte van der Zee (20) uit Enschede overleden,Moeder Lotte van der Zee: Ze is nu de mooiste ster aan de hemel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5327,Carly Rae Jepsen brengt na vier jaar nieuw album uit,"Nieuwe muziek op vrijdag: Famke Louise, Khalid en Editors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2794,Opvouwbare Samsung Galaxy Fold in mei in Nederland en kost 2.020 euro,Prijzige vouwbare smartphone Samsung op 3 mei in de winkels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4289,KLM-toestel botst bijna met twee vliegtuigen boven India,KLM-toestel ontsnapt aan mogelijke botsing in India: ‘Veiligheid niet in geding’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5191,Het Lagerhuis blijft een lastig obstakel voor May,May waarschuwt voor gevolgen als parlement brexitdeal afwijst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4158,Honderden mensen afgelopen weekend slachtoffer van DigiD-phishing,"Opnieuw phishingmail DigiD in omloop, 361 slachtoffers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2921,Droogte-effect op binnenvaart: lichte daling goederenvervoer,Lichte daling vervoer binnenvaart in 2018 wegens lage waterstand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4640,Kunstenaar Hans Jouta maakt standbeeld Cruijff bij ArenA,Friese kunstenaar Hans Jouta gaat standbeeld van Johan Cruijff maken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
953,Rayo Vallecano breekt met coach Míchel,Paco Jémez keert terug bij Rayo Vallecano,Monchi keert terug bij Sevilla als technisch directeur,Sevilla wint van Espanyol en houdt zicht op belangrijke vierde plaats,Trainer Sevilla ontslagen na nederlaag tegen Slavia Praag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
4588,Mislukte penisvergrotingen nationaal probleem in Papoea Nieuw-Guinea,Mannen op Papoea Nieuw-Guinea worstelen met mislukte penisvergrotingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
905,Nageeye noemt vierde plek en Nederlands record in Rotterdam 'ongelooflijk',"Nageeye verpulvert Nederlands record, Kipserem wint in parkoersrecord",Toplopers gaan in NN Marathon Rotterdam weg op eindtijd van de 2.05,Abdi Nageeye loopt nieuw Nederlands marathonrecord in Rotterdam en is niet verrast,Nederlander Nageeye eindigt knap als vierde bij Marathon van Rotterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
4717,Schrijfster Susan Smit stapt in het huwelijksbootje,Schrijfster Susan Smit en journalist Onno Aerden gaan trouwen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
269,Herboren Otterspeer klopt Ntab op NK sprint,Kramer en Wüst slaan World Cup Hamar over met oog op WK afstanden,Leerdam en Otterspeer blijven op koers voor goud bij NK sprint,Beune blijft Achtereekte voor op 500 meter op NK allround,Visser verbetert twaalf jaar oud baanrecord van Sáblíková in Thialf,Roest wil rust en meldt zich af voor ploegenachtervolging WK afstanden,Beune blijft aan kop bij NK allround,Roest doet bij WK afstanden in Inzell niet mee aan ploegachtervolging,Beune en Snel winnen 500 meter op NK allround,Toppers slaan wereldbeker in Hamar over richting WK afstanden,Beune verstevigt leiding bij NK allround met sterke 1.500 meter,Carlijn Achtereekte met eerste allroundtitel naar WK,Publiek in Thialf wordt belazerd,Otterspeer en Leerdam verdedigen koppositie voor slotstuk NK sprint,Ntab en Leerdam beginnen NK sprint met zege op 500 meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
4695,Rundfunk keert terug met nieuw theaterprogramma,Rundfunk komt met nieuw theaterprogramma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
771,Universiteit van Amsterdam gelast tentamens af op 28 mei wegens ov-staking,'Docenten RUG kregen geen vergoeding bij onvoldoende voor scriptie',Eelco Runia: ‘De universiteit is twee keer blij met studenten: als ze binnenkomen en als ze hun diploma halen’,Hogeschool Utrecht: aanwezigheidsplicht vervalt toch door ov-staking,Universiteit Utrecht verplaatst tentamens vanwege ov-staking,Universiteiten en hogescholen verplaatsen tentamens wegens ov-staking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
635,Kromowidjojo zwemt ook WK-limiet op 50 vrij,"Kromowidjojo zwemt in Den Haag WK-limiet op 100 vrij, Heemskerk wint",Kromowidjojo zwemt in Den Haag ook WK-limiet op 50 meter vrij,Veelbesproken Toussaint zwemt ook op 50 meter rugslag WK-limiet,Kromowidjojo zwemt WK-limiet bij Swim Cup,Kromowidjojo snelste op 50 meter vrij bij Swim Cup in Den Haag,"Kromowidjojo wint 50 vrij bij Swim Cup, talent Schouten zwemt WK-limiet",Kromowidjojo net boven WK-limiet op 50 vlinder bij Swim Cup Den Haag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
4759,IJzersterke Brand prolongeert Nederlandse titel veldrijden,Brand troeft Vos af en prolongeert titel bij NK veldrijden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
549,Toch geen strengere uitkeringsregels voor arbeidsongeschikten,Op de valreep doorbraak in ziektedossier: streep door bezuiniging arbeidsongeschikten,"Zieke werknemer behoudt twee jaar loon, werkgever krijgt hulp",Bezuiniging op arbeidsongeschikten van tafel,Gemeente Amsterdam investeert in banenplannen voor werklozen,Kabinet ziet af van bezuiniging op arbeidsongeschiktheidsverzekering,"Polderakkoord bereikt over ziektewet, ruzie gesmoord",Kleine werkgever met zieke werknemer krijgt hulp van kabinet,Koolmees geeft kleinbedrijf een bonus om zieke werknemer door te betalen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
4894,Politie houdt 31-jarige man aan voor geweldpleging op Waldeck Pyrmontkade,Politie vindt slachtoffer van mishandeling op Waldeck Pyrmontkade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
291,Opel kondigt derde elektrische model aan,Nederlandse topman zet Audi onder stroom: tien puur elektrische auto's binnen vijf jaar,Volkswagen mogelijk aan de slag in Ford-fabrieken VS,Volkswagen koerst af op recordjaar,Foutje: elektrische Kia komt ‘slechts’ 455 kilometer ver op volle lading in plaats van 485,ACM handhaaft 450.000 euro boete voor dieselfraude Volkswagen,Volkswagen bouwt over acht jaar zijn laatste generatie auto's met brandstofmotor,Aandeel elektrische auto in totale verkoop nadert 10 procent,Audi: tien puur elektrische auto's binnen vijf jaar,Renault gaat ook deelauto's aanbieden in Amsterdam,Dit zijn de vijf duurste Porsches aller tijden,Kun je goedkoop elektrisch rijden?,Renault begint met deeldienst voor elektrische auto's in Amsterdam,De fraaiste auto's op Lifestylebeurs Masters of Lxry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
3299,Automobilist gearresteerd die op politieagent probeerde in te rijden,Man probeert op politieagent in te rijden na speekseltest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4739,Steeds meer baby's worden geboren in eenoudergezin,Bijna een op de tien baby’s wordt geboren in een eenoudergezin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4097,‘Bedreiger Binnenhof wilde politici neersteken met vleesmessen’,OM: In februari opgepakte man wilde politici neersteken op Binnenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3529,Job Cohen gaat onderzoek naar transport Joden door NS leiden,Job Cohen voorzitter van commissie voor vergoeding Holocaust-slachtoffers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5092,"Overleden spookrijder A2 was niet onder invloed,  dollemansrit blijft altijd mysterie",Overleden spookrijder A2 reed ruim 10 kilometer tegen verkeer in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4730,"Krajicek neemt duik in Miami, Djokovic speelt in de sneeuw","Krajicek neemt frisse duik in Miami, Djokovic speelt in de sneeuw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4429,Mick Jagger danst weer na hartoperatie,The Rolling Stones vervolgen tour na hartoperatie Mick Jagger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5783,Netflix sluit deal met erfgenamen Roald Dahl voor animatieseries,Netflix mag klassiekers Roald Dahl verfilmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
343,Verstappen omcirkelt drietal races in de agenda,Márquez noteert snelste ronde ooit in Qatar,MotoGP-coureurs bezorgd over 'gevaarlijk' tijdstip eerste race in Qatar,Jos Verstappen: Seizoen geslaagd als Max in top 3 eindigt,"Verstappen omcirkelt Monaco, Mexico en Singapore in raceagenda",Hamilton benadrukt dat Mercedes koel moet blijven in strijd met Ferrari,Viñales pakt pole bij openingsrace MotoGP,Verstappen voelt zich voor aanvang vijfde Formule 1-jaar geen 'rookie' meer,Jos Verstappen: 'Seizoen geslaagd als Max in top drie WK-stand eindigt',Teambaas Binotto gelooft niet dat Ferrari voorsprong heeft op Mercedes,Horner denkt dat Red Bull achterstand op Mercedes gedicht heeft,Rossi (40) begint aan 24ste WK: ‘Motorracen is mijn drug’,Poll | Wanneer is het seizoen van Verstappen geslaagd?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
