,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,n_articles
1086,Gemeente Amersfoort eist geheimhouding rond Koningsdag,‘Amersfoort legt wie zijn mond voorbijpraat over Koningsdag 25.000 euro boete op’,Amersfoort legt wie zijn mond voorbij praat over Koningsdag 25.000 euro boete op,,,,,,,,,,,,,,,,,,,3
2559,"Tim Knol, Boef en andere concerten die nog niet zijn uitverkocht",Concert Tim Knol+the Bluegrass Boogiemen+the Miseries - Amsterdam,,,,,,,,,,,,,,,,,,,,2
4195,Rotterdam wil start Tour de France opnieuw organiseren,Rotterdam wil opnieuw start Tour de France organiseren,,,,,,,,,,,,,,,,,,,,2
3237,OM: Ridouan Taghi gaf opdracht tot moord op Samir Erraghib,OM geeft inkijk in koelbloedige werkwijze Ridouan Taghi,,,,,,,,,,,,,,,,,,,,2
1835,"‘Het recht zegevierde, maar laat grote littekens achter’",Ronald verloor jaren van z’n leven na terecht schot: ‘Ik herinner me het gezicht van mijn kind niet’,,,,,,,,,,,,,,,,,,,,2
512,Aantal vliegtuigpassagiers in zomer 2018 met 17 procent gestegen,Recordzomer voor Nederlandse luchthavens,Rotterdam The Hague Airport beleeft drukste zomer ooit,Recordzomer voor Nederlandse vliegvelden,,,,,,,,,,,,,,,,,,4
1498,Turken schaken om invloed Noord-Syrië,Waarom zijn de Koerden toch altijd de pineut?,,,,,,,,,,,,,,,,,,,,2
2948,Belastingdienst jaagt op geld Aretha Franklin,"Wijlen Aretha Franklin heeft belastingschuld van 5,5 miljoen euro",,,,,,,,,,,,,,,,,,,,2
2598,‘Zelfs de beste teams worden,Dít stond altijd bovenaan op Spelbos’ checklist voor Oranje,,,,,,,,,,,,,,,,,,,,2
4110,Schulting is getergd: ‘Ik wil geen eendagsvlieg zijn’,Schulting wil bij EK in eigen land bewijzen dat ze geen eendagsvlieg is,,,,,,,,,,,,,,,,,,,,2
5121,Kabinet weigert portemonnee te trekken voor Formule 1-race Zandvoort,Kabinet weigert portemonnee te trekken voor Nederlandse Formule 1-race,,,,,,,,,,,,,,,,,,,,2
946,Van Dijk: Eigenlijk is het allemaal vanzelf gegaan,‘Brazilië? Wij zijn België!’,"Van Dijk, steunpilaar bij Liverpool en Oranje",,,,,,,,,,,,,,,,,,,3
4515,Ook Rob Geus moet weg bij het nieuwe SBS 6: ‘Kopje koffie had ik wel leuk gevonden’,Ook contract Rob Geus bij SBS niet verlengd,,,,,,,,,,,,,,,,,,,,2
2744,Vuitton trekt Michael Jackson-collectie terug,Louis Vuitton trekt Michael Jackson-kleding uit collectie terug,,,,,,,,,,,,,,,,,,,,2
4928,Ruim dertig kinderen met vuurwerkverwondingen naar de traumachirurg,Vereniging Traumachirurgie registreert negentig gewonden door vuurwerk,,,,,,,,,,,,,,,,,,,,2
32,'Frankrijk was niet op de hoogte van nemen van belang in Air France-KLM door Nederlandse Staat',Staat neemt in diepste geheim aandeel van ruim 12 procent in Air France-KLM,‘Frankrijk verrast door Nederlandse stap Air France-KLM’,"Heen met Air France, terug met KLM: Nationaal belang in een multinational",Staat koopt aandelen Air France-KLM: Dit ging er aan vooraf,Nederland heeft 14 procent van aandelen Air France-KLM binnen voor 744 miljoen,Nederlandse staat neemt belang in Air France-KLM,Staat grijpt in bij Air France-KLM,Eerste reacties op aankoop aandelen Air France-KLM positief,"KLM blij met besluit kabinet, gemengde reacties vanuit Den Haag",,,,,,,,,,,,10
2570,Guaidó: 'Zeshonderd militairen staan niet langer achter regering Maduro',Guaidó belooft ondanks schending reisverbod terugkeer naar Venezuela,,,,,,,,,,,,,,,,,,,,2
1024,Jan Versteegh overweegt carrièreswitch en Hind gespot met pruik,Nielson zit ‘Mol’ op de hielen en Amanda zoekt afleiding in de sneeuw,Zwangere Monique is een hit en Jan Versteegh overweegt carrièreswitch,,,,,,,,,,,,,,,,,,,3
464,'Gemiddelde huurprijs winkelpand opnieuw gedaald','Gemiddelde huurprijs winkelpanden Amsterdam opnieuw gestegen',Huurprijs winkelpanden Utrecht daalt,Huurprijs winkelpanden Rotterdam daalt,,,,,,,,,,,,,,,,,,4
3663,Zwanenburgbaan Schiphol zes weken dicht,Kaagbaan Schiphol eerder heropend dan gepland,,,,,,,,,,,,,,,,,,,,2
2750,"Verdediger Levante in cel voor ‘afpersing, bedreiging en witwassen’",Levante-verdediger Toño in cel om mogelijke betrokkenheid bij afpersing,,,,,,,,,,,,,,,,,,,,2
238,"Verzekering dekt schade huis door vonkenregen, maar vaak niet die aan fiets",Schade jaarwisseling: 15 tot 20 miljoen euro,Verzekering dekt schade huis door vonkenregen,Schade jaarwisseling 15 tot 20 miljoen euro (exclusief vonkenregen Scheveningen),Schade van jaarwisseling stijgt naar minimaal 15 miljoen euro,,,,,,,,,,,,,,,,,5
4805,Lichaam Spaanse peuter Julen na 13 dagen eindelijk gevonden,Lichaam Spaanse peuter Julen (2) gevonden bij reddingsoperatie,,,,,,,,,,,,,,,,,,,,2
5022,Middelbare scholen in krimpgebieden dreigen te verdwijnen,Middelbare scholen in krimpgebieden bang voor sluiting,,,,,,,,,,,,,,,,,,,,2
3769,Georgina verandert in dreinende scholier en Isa herdenkt overleden moeder,Jim Bakkum sexy in Miami en Posjes bouwen wijnimperium verder uit,,,,,,,,,,,,,,,,,,,,2
4038,Zwaarbeveiligde gouden hanger uit 1559 in Tiels Streekmuseum blijkt nep,Zwaar beveiligde gouden hanger uit 1559 in Tiels Streekmuseum blijkt nep,,,,,,,,,,,,,,,,,,,,2
397,Zeiler Heiner loopt uit op Postma in olympische selectiewedstrijd,Heiner zet Postma op achterstand,Zeiler Heiner zet grote stap richting Spelen,Heiner neemt afstand van Postma in strijd om olympisch ticket,,,,,,,,,,,,,,,,,,4
3572,Man pleegt zelfmoord in bijzijn van politie in Amsterdam-Zuidoost,"Dode gevonden in Amsterdam-Zuidoost, ook gewonde na schietincident in stadsdeel",,,,,,,,,,,,,,,,,,,,2
4992,De harige punani als statement,‘We beschouwen ons natuurlijke vachtje als het goorste dat er bestaat’,,,,,,,,,,,,,,,,,,,,2
4186,Demonstranten bestormen Congolees quarantainecentrum voor ebola,Verkiezingen in Congolese crisisgebieden uitgesteld tot maart 2019,,,,,,,,,,,,,,,,,,,,2
4636,Rutte vindt excuses Wiebes na pijnlijke uitglijder ‘passend’,Wiebes blundert met ‘bevinkje’ in Groningen,,,,,,,,,,,,,,,,,,,,2
3660,Nicaragua laat meer dan 600 gevangenen vrij,Nicaragua laat jaar na protesten meer dan 600 gevangenen vrij,,,,,,,,,,,,,,,,,,,,2
1607,Griezmann vertrekt deze zomer alsnog bij Atlético Madrid,Griezmann wil na vijf seizoenen vertrekken bij Atlético Madrid,,,,,,,,,,,,,,,,,,,,2
1547,President Brazilië: misdaden Holocaust kunnen vergeven worden,Braziliaanse president Bolsonaro vindt dat misdaden Holocaust kunnen worden vergeven,,,,,,,,,,,,,,,,,,,,2
307,Mick Schumacher enthousiast na eerste F2-test,Mick Schumacher rijdt komend seizoen in Formule 2 voor Prema Racing,Nyck de Vries volgend jaar in Formule 2 bij kampioensteam ART,De Vries volgt kampioen Russell op bij ART Grand Prix in Formule 2,,,,,,,,,,,,,,,,,,4
2644,Slachtoffers dodelijk ongeluk Coenplein zijn vrouw (34) en man (44),Twee doden door ongeval op A10 bij Amsterdam: één aanhouding,,,,,,,,,,,,,,,,,,,,2
2460,Morrend scharen VVD-senatoren zich weer achter Jorritsma,Jorritsma na ‘stevig’ gesprek: ‘Vertrek Duthler was onontkoombaar’,,,,,,,,,,,,,,,,,,,,2
4389,Instagram door het stof om seksistische reclame na tirade Demi Lovato,Instagram door het stof om reclame vol ‘fat shaming’ na tirade Demi Lovato,,,,,,,,,,,,,,,,,,,,2
2552,Regering Aruba besluit grens met Venezuela voor een maand te sluiten,Aruba sluit grens met Venezuela,,,,,,,,,,,,,,,,,,,,2
5147,Duitse zangeres Helene Fischer en Florian Silbereisen uit elkaar,Helene Fischer en Florian Silbereisen (Klubbb3) uit elkaar,,,,,,,,,,,,,,,,,,,,2
4704,De actrice die Pippi Langkous speelde: Meneer Nilsson was een rotbeest,Zo ziet de actrice van Pippi Langkous er vijftig jaar later uit,,,,,,,,,,,,,,,,,,,,2
4399,Aantal buitenlandse tandartsen in Nederland neemt fors toe,‘Aantal buitenlandse tandartsen in Nederland neemt fors toe’,,,,,,,,,,,,,,,,,,,,2
124,Politie: mysterieuze messentrekker Castricum stak in op drie vrouwen,Gemeenten in Noord-Holland waarschuwen na aanvallen op joggers en fietsers: ga niet alleen de straat op,Aangereden vrouwen Noord-Holland net als hardloper mogelijk ook neergestoken,Neergestoken hardloopster worstelt met nachtmerries en paniekmomenten,Politie: mysterieuze messentrekker Egmond stak in op drie vrouwen,Politie Egmond vraagt om camerabeelden in zaak neersteken hardloopster,,,,,,,,,,,,,,,,6
4315,Victoria de straat op in creatie van vlashaar en Kim negeert doktersadvies,Victoria de straat op in creatie van vlashaar en Candy mist haar grote liefde,,,,,,,,,,,,,,,,,,,,2
3083,Voormalig GTST-acteur Dave Mantel (37) plotseling overleden,Ferry Doedens ‘in shock’ na dood Dave Mantel: ‘Trots op wat we hebben neergezet’,,,,,,,,,,,,,,,,,,,,2
1836,Politie pakt bijna 600 voortvluchtigen dankzij nieuwe app,Politie vindt bijna 600 voortvluchtigen met nieuwe app,,,,,,,,,,,,,,,,,,,,2
4217,De baas van dit bedrijf kreeg een bonus van 850 miljoen euro - en gaf het allemaal weg,De baas van dit bedrijf krijgt bonus van 850 miljoen euro - en geeft het allemaal weg,,,,,,,,,,,,,,,,,,,,2
4149,Patty Brard viert 65e verjaardag met one woman-show in theaters,Patty Brard gaat in 2020 het theater in,,,,,,,,,,,,,,,,,,,,2
1671,Verstappen hoopt gat met de top te dichten in China,Verstappen hoopt dat Red Bull gat met topteams kan dichten in China,,,,,,,,,,,,,,,,,,,,2
1509,Huis voor Klokkenlui­ders kostte negen miljoen en loste nul zaken op,Leegloop en chaos in Huis voor Klokkenluiders,,,,,,,,,,,,,,,,,,,,2
3563,De Samsung Galaxy S10-serie onder de loep: geen teleurstellingen,Hoe goed (of slecht) is de Samsung Galaxy S10-serie echt?,,,,,,,,,,,,,,,,,,,,2
4944,VS stelt voormalig Eredivisie-speler Berhalter aan als bondscoach,Berhalter nieuwe bondscoach Verenigde Staten,,,,,,,,,,,,,,,,,,,,2
4782,‘Jan Terlouw (87) wordt lijstduwer voor D66 bij Europese verkiezingen’,Trouw: Terlouw (87) wordt lijstduwer voor D66 bij Europese verkiezingen,,,,,,,,,,,,,,,,,,,,2
3979,Bayern München: Gaan meer geld dan ooit uitgeven,Bayern München gaat meer geld dan ooit uitgeven,,,,,,,,,,,,,,,,,,,,2
2576,Enige drie Taco Bell restaurants in Nederland per direct dicht,Taco Bell sluit al na anderhalf jaar per direct alle vestigingen in Nederland,,,,,,,,,,,,,,,,,,,,2
1809,Minister verbiedt gebruikt stroomhalsbanden bij honden,Minister verbiedt pijnlijke stroombanden bij honden,,,,,,,,,,,,,,,,,,,,2
350,Lichaam van vermiste Julie Van Espen (23) gevonden in kanaal bij Antwerpen,Man opgepakt in verdwijningszaak Belgische studente Julie Van Espen,Belgische agenten zoeken naar vermiste Julie Van Espen (23),'Verdachte in zaak gedode Antwerpse (23) bekent betrokkenheid bij haar dood',,,,,,,,,,,,,,,,,,4
2092,"Pröpper verliest ondanks eerste Premier League-goal, Everton wint dankzij IJslands record",Brighton ondanks eerste doelpunt Pröpper onderuit bij Leicester City,,,,,,,,,,,,,,,,,,,,2
4585,Hormonen Monique slaan op hol en Jessie topless aan ontbijt,Droomvilla Tino Martin ligt in puin en hormonen Monique slaan op hol,,,,,,,,,,,,,,,,,,,,2
1934,Kwakkelend NEC neemt afscheid van technisch directeur Oversier,Technisch directeur per direct weg bij NEC,,,,,,,,,,,,,,,,,,,,2
4310,‘Spectaculaire vondst’: oudste wrak van zeeschip ooit gevonden bij Wadden,‘Spectaculaire vondst’: wrak van oudste zeeschip ooit gevonden bij Wadden,,,,,,,,,,,,,,,,,,,,2
5102,AfD-parlementariër zwaargewond na aanval in Bremen,AfD-parlementariër aangevallen en verwond,,,,,,,,,,,,,,,,,,,,2
2437,Bill Cosby voelt zich een politieke gevangene,'Bill Cosby vermaakt zich goed in gevangenis en is gestopt met koffie',,,,,,,,,,,,,,,,,,,,2
767,Autofabrikant VDL Nedcar naar de rechter om stakingen te voorkomen,Rechtbank Maastricht verbiedt staking bij VDL Nedcar,Rechter verbiedt staking bij VDL Nedcar in Born,,,,,,,,,,,,,,,,,,,3
2317,"Waylon verrast met cadeautjes, Dave laat harten sneller kloppen","Dave laat harten sneller kloppen, dochter Ferri kan nu al acteren",,,,,,,,,,,,,,,,,,,,2
321,Ajax ziet beoogde aanwinst Lainez naar Real Betis vertrekken,Ten Hag wil 'vechten' voor behoud Neres na mislopen Mexicaan Lainez,'Ajax akkoord met Club América over transfer aanvaller Lainez','Guangzhou Evergrande verhoogt bod op Ajacied Neres naar 43 miljoen',,,,,,,,,,,,,,,,,,4
1978,Feyenoord start met Toornstra en Van Persie tegen Utrecht in KNVB-beker,Clasie en Toornstra waarschijnlijk fit genoeg voor bekerduel met Utrecht,,,,,,,,,,,,,,,,,,,,2
1531,‘Apple presenteert abonnementsdienst voor nieuws op 25 maart’,'Apple eist helft inkomsten uit betaalde abonnementsdienst voor nieuws',,,,,,,,,,,,,,,,,,,,2
1312,Zanger Johnny Lion op 77-jarige leeftijd overleden,Sophietje-zanger Johnny Lion (77) overleden,,,,,,,,,,,,,,,,,,,,2
1473,Black Friday zorgt voor rinkelende kassa’s,Een vijfde meer pinbetalingen tijdens Black Friday,,,,,,,,,,,,,,,,,,,,2
2625,Biles en Djokovic in de prijzen bij Laureus Awards in Monaco,"Biles, Djokovic en Vonn in de prijzen bij Laureus Awards in Monaco",,,,,,,,,,,,,,,,,,,,2
3599,Rapper Boef zegt komende optredens af wegens stemproblemen,Rapper Boef annuleert optredens,,,,,,,,,,,,,,,,,,,,2
1147,"Jochie (4) zwaargewond na aanval poema’s,  twee exemplaren doodgeschoten",Twee poema's afgeschoten na aanval op kind in Canadees dorp,"Jochie (4) zwaargewond na poema-aanval, twee exemplaren doodgeschoten",,,,,,,,,,,,,,,,,,,3
3902,Waar kun je gratis feesten tijdens Koningsnacht?,Gratis feesten op Koningsdag: Van Den Haag tot Arnhem,,,,,,,,,,,,,,,,,,,,2
792,Woods wint Masters voor vijfde keer en boekt eerste majorzege sinds 2008,"Molinari begint slotdag Masters als leider, Woods houdt kans op zege",Tiger Woods zet rentree kracht bij met eerste Masters-titel in veertien jaar,,,,,,,,,,,,,,,,,,,3
1800,Meerderheid in Nederland verkochte tonijn zorgt voor veel bijvangst,Bijna alle blikjes tonijn bevatten ‘ploftonijn’,,,,,,,,,,,,,,,,,,,,2
4734,Opnames nieuwe dramaserie Commando's begonnen in Zuid-Afrika,Egbert-Jan Weeber te zien in nieuwe dramaserie Commando's,,,,,,,,,,,,,,,,,,,,2
4816,"Mendy neemt Guardiola in de maling, Ricksen bij Rangers","Krajicek op de Bahama's, Ricksen te gast bij Rangers",,,,,,,,,,,,,,,,,,,,2
2133,Nieuwe nummers Mac Miller uitgebracht,Spotify brengt postuum twee nieuwe nummers Mac Miller uit,,,,,,,,,,,,,,,,,,,,2
574,Boeiend play-offduel tussen Go Ahead en Den Bosch eindigt onbeslist,Go Ahead doet zichzelf tekort in spectaculair play-offduel met Den Bosch,Go Ahead doet zichzelf tekort in spectaculair duel met Den Bosch,,,,,,,,,,,,,,,,,,,3
1645,'Britse premier May wil Brexit minstens drie maanden uitstellen','Britse premier May stuurt aan op kort uitstel van Brexit',,,,,,,,,,,,,,,,,,,,2
781,"Dan Karaty weg uit jury Dance Dance Dance, Jan Kooijman vervangt hem","Dan Karaty weg uit jury Dance Dance Dance, Jan Kooijman vervangt","Dan Karaty uit jury Dance Dance Dance, Jan Kooijman vervangt hem",,,,,,,,,,,,,,,,,,,3
2125,De Hans Brusselmans van de SP lijkt wel heel erg op Frans Timmermans,‘Hans Brusselmans’ van de SP lijkt wel heel erg op Frans Timmermans,,,,,,,,,,,,,,,,,,,,2
147,"'Cohen zal Congres vertellen dat Trump racist, oplichter en bedrieger is'","Raadsman Cohen zegt het echt: Trump is leugenaar, oplichter en racist",Cohen stelt dat Trump wist van lek e-mails Democraten door WikiLeaks,Voormalige advocaat van Trump ‘kijkt uit’ naar getuigen voor het Congres,Dit zegt Trumps advocaat over de president,Michael Cohen trok een nieuw gordijn weg voor het Trump-theater,,,,,,,,,,,,,,,,6
172,Waarom Jerrel Z. 160 reed? ‘De Skoda kon niet harder’,OM eist acht jaar cel om voorbereiden liquidatie Utrecht,Verdachte ontkent te hebben geweten van moordplannen Utrecht,OM eist 8 jaar cel tegen Jerrel Z. voor poging Khalid H. te liquideren,Jerrel Z. ontkent betrokkenheid bij liquidatiepoging Khalid H.: ‘Ik ben geen moordenaar’,,,,,,,,,,,,,,,,,5
1275,'iPhone-makers praten niet over schikking met Qualcomm in patentzaak',Apple wil Chinees verkoopverbod iPhones met update afwenden,'Apple gedwongen tot regeling met Qualcomm',,,,,,,,,,,,,,,,,,,3
2623,Man de cel in omdat hij kinderen vertelt dat de kerstman niet bestaat,Man in VS opgepakt omdat hij in kerk kinderen vertelde dat kerstman nep is,,,,,,,,,,,,,,,,,,,,2
