,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,n_articles
5918,Politiemol verkocht informatie aan tientallen criminelen en motorbendes,Politiemedewerker Landelijke Eenheid vast op verdenking van doorspelen informatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2281,ADO-coach Groenendijk: 'Nog nooit zo doodziek geweest van gelijkspel',De Graafschap en ADO hebben weinig aan gelijkspel op De Vijverberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3938,Franse politie houdt 330 mensen aan en zet traangas in tijdens rellen Parijs,Politie zet traangas in bij Dag van de Arbeid-betoging Parijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2424,"Beschimmeld eten in Chinese schoolkantine: groot protest, rector moet opstappen","Beschimmeld eten in Chinese schoolkantine: kinderen ziek, ouders boos, rector stapt op",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4619,Deze ouderen moestuinieren lekker binnen,Deze ouderen moestuineren lekker binnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2617,‘Gestopte’ dj Hardwell verrast fans met splinternieuwe dancetrack,'Gestopte' Hardwell brengt nieuwe single uit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4379,Van Gerwen verliest in jacht op play-offs van Gurney in Manchester,Cross dicht bij halve finales Premier League Darts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5852,Kort geding politiebonden tegen Haagse burgemeester van de baan,Kort geding politiebonden tegen Pauline Krikke om voorwaarden actie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1039,Joshua-uitdager Miller alsnog door het stof na positieve B-staal,Uitdager Joshua in verlegenheid gebracht door verdachte dopingtest,Joshua krijgt andere uitdager in New York,Veelbesproken Miller krijgt geen licentie voor titelgevecht met Joshua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
5756,Oud-minister Johan Witteveen bleef tot zijn dood een politieke bemoeial die graag zijn ongezouten mening gaf,Oud-minister van Financiën Johan Witteveen (97) overleden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3617,Tim Douwsma stapelverliefd op zijn jeugdvriendin Elske,Tim Douwsma bevestigt relatie met Friezin Elske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2578,Nance neemt afscheid van moeder en Patricia van haar 93-jarige vader,Barney geniet van break met piepjonge liefde en Marco traint zich suf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3642,Veel deelnemers verwacht bij Women's March door Amsterdam,Women’s March trekt door Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2185,Netflix gebruikt beelden dodelijke treinramp België in horrorfilm,Netflix gebruikt in horrorfilm beelden van echte treinramp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1905,Zo kun je voordeel halen uit een hogere WOZ-beschikking,Hoe kun je voordeel halen uit een hogere WOZ-beschikking?,Een hogere WOZ-waarde kán lasten verlagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
4142,Programma First Dates groeit door naar hotelversie,First Dates krijgen extra kansen in romantisch liefdeshotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1379,Beet! Goudvis als aas levert paashengelaar vette prent op,Goudvis als aas komt paashengelaar op vette prent te staan,Visser krijgt boete voor vissen met levende goudvis als aas in Weert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5893,Stephens strikt Nederlandse tenniscoach Groeneveld,Nederlandse tenniscoach Groeneveld gaat Sloane Stephens begeleiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1825,Verdediging: 'Aandeel van zussen Holleeder in bewijs beperkt',Zes tactieken voor het vrijpleiten van één van de grootste criminelen van Nederland,Advocaat Holleeder: 'OM leunt op verklaringen die goed uitkomen',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
533,"Zwolse jihadiste sterft in kamp, families vrezen meer doden",Nederlandse regering onderzoekt mogelijke terugkeer vrouwelijke Syriëgangers,‘Nederland onderzoekt terughalen Syriëgangers’,"Nederlandse jihadiste overleden in Syrië: ‘Als je zulk nieuws hoort, gaat je hart sneller kloppen van angst’",Amerika: alle landen moeten Syriëstrijders terughalen en zelf berechten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3351,Agent schiet in Brussel man dood die hem aanviel met een zwaard,Brusselse politie schiet met zwaard dreigende man dood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1850,Stadsnomaden laten zich niet zomaar hun caravan uit jagen: ‘Ik ga toch niet in zo’n verzorgingshuis een kaartje leggen?’,Halsema: Stadsnomaden verhuizen niet naar Kadoelen in Noord,Amsterdam wil ‘stadsnomaden’ uit elkaar halen en zorg bieden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2687,Trump: Noord-Korea wel degelijk verantwoordelijk voor dood Amerikaanse student,Trump: Noord-Korea verantwoordelijk voor dood Amerikaanse student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2649,Negen doden na instorten appartementen Rio de Janeiro,"Minstens acht doden na instorten appartementen Rio de Janeiro, nog velen vermist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5215,Pamela Anderson bezoekt Wikileaks-baas Assange,Pamela Anderson bezoekt Wikileaks-baas Assange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5502,SGP met experts om tafel: ‘Moet ineens heel Nederland genderneutraal benaderd worden?’,SGP buigt zich over genderdiversiteit: ‘Moet ineens heel Nederland genderneutraal benaderd worden?’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4127,New York heeft nu een officiële Sesamstraat,Echte Sesamstraat onthuld in New York ter ere van 50-jarig jubileum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3709,‘Hotelpiraten’ Jan en Jolanda gaan vier en drie jaar de cel in,Vier en drie jaar cel voor echtpaar dat zonder te betalen in hotels sliep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3550,Maher hakt knoop door en vertrekt bij AZ,"Maher hakt knoop door en vertrekt bij AZ, Vlaar lijkt wel te blijven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5406,Toerisme in Athene is niet alleen een reddingsboei,Atheners klagen over het groeiende toerisme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1240,ProRail betaalde vaker miljoenen euro’s voor grond die NS Vastgoed met geld toe van de hand deed,ProRail verliest miljoenen voor grond langs spoor,Wéér miljoenblunder voor Prorail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1163,Smartwater van Coca-Cola 'meest misleidende product van 2018',‘Smartwater’ van Coca-Cola krijgt prijs voor meest misleidende voedingsproduct,Smartwater van Coca-Cola ‘beloond’ met Gouden Windei: ‘Gewoon duur water’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3501,Transfer Hamsik naar China voorlopig van de baan,‘Clubicoon Hamsik verruilt Napoli voor Chinese Super League’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
6229,'NPO-baas Frans Klein had brievenbusfirma voor zijn broer',NPO-topman Frans Klein bestuurde een omstreden brievenbusfirma om zijn broer te helpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4515,"10 miljoen meer overnachtingen in Nederland, vooral campings in trek",Topjaar voor campings in zonnig 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4110,Pacquiao daagt Mayweather uit na verdedigen wereldtitel,Pacquiao verdedigt wereldtitel met succes en daagt Mayweather opnieuw uit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5944,Marokkaanse politie zet waterkanonnen in tegen demonstrerende leraren,Politie zet waterkanon in tegen leraren in Rabat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3275,Nog steeds geen zicht op daders drone-affaire Gatwick,Gevonden drones bij vliegveld Gatwick verstoorden vliegverkeer niet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1253,Husky wordt vastgebonden achtergelaten in park Plaswijck in Rotterdam,Oude husky vastgebonden achtergelaten in bloedheet Plaswijckpark,Baasjes van gevonden hond Jack melden zich: ‘We houden zielsveel van hem!’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5550,Seizoen Mbappé bijna voorbij na schandalige charge,Drie duels schorsing voor Mbappé na grove charge in bekerfinale PSG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
971,Wolf definitief terug in Nederland na officiële vestiging op Veluwe,Wolvin op Noord-Veluwe heeft partner: ‘het begin van een roedel’,Wolvin op Noord-Veluwe heeft gezelschap van een mannetje,Wolvin op Noord-Veluwe heeft partner: ‘het begin van een roedel’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
5440,Blokker verkoopt winkelketen Marskramer,Blokker doet ‘klein zusje’ Marskramer van de hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1611,Aandeel buitenlandse studenten in hoger onderwijs gestegen,Onderwijs steeds ‘Engelser’: bijna 10.000 buitenlandse studenten erbij,Onderwijs steeds ‘Engelser’: minister staat pal voor het Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3677,Amsterdam wil 500.000 vierkante meter aan nieuwe kantoorruimte,Zeventig voetbalvelden aan nieuwe kantoren in Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4286,Waarom we allemaal op reanimatiecursus moeten,'Zeven minuten en zestien seconden vocht mijn moeder voor mijn vaders leven’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
6227,Bouwers vreugdevuur Scheveningen: We willen volgend jaar weer een vreugdevuur,Bouwers vreugdevuur Scheveningen verklaren wat er mis ging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3953,Usher vraagt officieel scheiding van Grace Miguel aan,Zanger Usher vraagt officieel scheiding aan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
68,Amsterdam bereidt zich voor op mogelijke huldiging Ajax,Huldiging Ajax vindt donderdagmiddag plaats op Museumplein,Museumplein stroomt vol met bezoekers voor huldiging Ajax,Zo kun je het Museumplein bereiken voor de huldiging van Ajax,Amsterdam reageert op kritiek op tijdstip huldiging Ajax: ‘In middag vanwege veiligheid’,NS waarschuwt voor drukte in treinverkeer rondom Amsterdam donderdag,Halsema: 'garanties over veiligheid rond huldiging niet te geven',Familieleden Nouri tonen kampioensschaal aan Ajax-fans bij huldiging,Huldiging Ajax live op onze site en app,Amsterdam zet zich schrap voor dampende huldiging Ajax,Huldiging Ajax bij landskampioenschap donderdagmiddag op Museumplein,Mogelijke huldiging van Ajax op vroeg tijdstip vanwege veiligheid,Buurten rondom Museumplein verkeersluw gemaakt voor huldiging Ajax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
3393,Regering Aruba besluit grens met Venezuela voor een maand te sluiten,Aruba sluit grens met Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2383,Inspectie gaat afgebroken studie AMC naar galwegkanker onderzoeken,Inspectie stelt onderzoek in naar UMC-studie met veertien doden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2166,Oranje Onder 17 prolongeert Europese titel met zege op Italië,Oranje onder 17 wint opnieuw van Italië in EK-finale en prolongeert titel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2847,Zeven mijnwerkers omgekomen in zuidwesten van China,Mijnongeluk China eist zeven doden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1141,FlixBus wil rivaal Eurolines overnemen,Busvervoerder FlixBus wil concurrent Eurolines overnemen,BlaBlaCar gaat strijd aan met FlixBus in Duitsland en Benelux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
5497,Waarom de panda’s in Ouwehands Dierenpark maar niet willen paren,Wéér pech voor Ouwehands: dit jaar geen pandababy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
356,Vader en zoon opgepakt in Enschedese liquidatiezaak,Mogelijke doorbraak: arrestaties in zaak viervoudige moord Enschede,Mogelijke doorbraak: arrestatie in zaak viervoudige moord Enschede,Twee mannen aangehouden voor viervoudige moord in Enschede,Politie houdt derde verdachte aan in viervoudige moord Enschede,Derde verdachte opgepakt voor viervoudige moord Enschede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
4549,Persoon aangehouden na neersteken meerdere jongeren op straat in Hoofddorp,Meerdere jongeren neergestoken op straat in Hoofddorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
705,Robben haakt tijdens warming-up af bij Bayern,Bayern-voorzitter Rummenigge spreekt steun uit voor trainer Kovac,Robben twijfelgeval voor duel met Werder,"Rummenigge spreekt steun voor Kovac uit: ‘Onze trainer op kerstavond 2018, 2019 en 2020'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2677,Namli en Ehizibue op weg naar PEC-uitgang,"Hazard naar Dortmund, Namli en Ehizibue richting uitgang PEC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5938,Porto klopt Roma na verlenging en bereikt kwartfinales Champions League,Porto klopt Roma vanaf de stip na ingrijpen VAR in verlenging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
176,Sarri weet nog niet of hij Arrizabalaga gaat opstellen tegen Tottenham,Chelsea straft Kepa met week zonder salaris na weigeren wissel,Chelsea-manager Sarri noemt weigeren wissel Arrizabalaga 'misverstand',Chelsea straft Kepa na weigeren wissel,Cabellero steunt collega Kepa: ‘Zijn naar elkaar toegegroeid’,‘Kepa naait hofnar Sarri in het pak’,Chelsea straft Arrizabalaga alsnog voor veelbesproken wisselweigering,Sarri ziet Arrizabalaga nog steeds als eerste doelman van Chelsea,Chelsea-keeper Kepa verbannen naar de bank na wisselincident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1222,‘Directeur Vught krijgt na opeenstapeling van fouten nu bestuursfunctie in Den Dolder’,Overstap gevangenisdirecteur Vught naar kliniek moordenaar Anne Faber is ‘respectloos’,Directeur Vught werkt ondanks fouten bij Michael P. nu in Den Dolder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
3229,Tsunamialarm na aardbeving voor kust van Nieuw-Caledonië,Tsunami-alarm na aardbeving voor kust van Nieuw-Caledonië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4954,Bayern verslaat Hertha en zet druk op Dortmund in Bundesliga,Bayern klopt Hertha dankzij goal Martinez en rood Rekik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5853,Investeerder wil vervolging ING om witwaszaak afdwingen,Investeerder wil alsnog vervolging ING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3161,Olympisch roeikampioen omgekomen bij skiën,Duitse olympisch kampioen roeien (30) komt om tijdens langlaufen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5464,Ozzy Osbourne zegt Europese concerten af,Ozzy Osbourne zegt Europese concerten af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4828,"Brand in Tegelen, drie gewonden",Drie personen naar ziekenhuis vanwege bedrijfsbrand in Limburgs Tegelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
120,Hoe gevaarlijk zijn de mazelen? Alle vragen beantwoord,Twee mazelenkinderen op Haagse crèche niet ingeënt,Hoe gevaarlijk zijn de mazelen? Check het aantal inentingen bij jou in de buurt,'Drie kinderen op kinderdagverblijf in Den Haag getroffen door mazelen',Mazelenuitbraak op Haags kinderdagverblijf,Mazelenvirus rukt op in Nederland,In spagaat na uitbraak van mazelen,Wat weten we tot nu toe over de mazelenuitbraak op Haags kinderdagverblijf?,Twee mazelenkinderen niet ingeënt: check hoe het zit bij jou in de buurt,Haagse kinderen met mazelen waren niet ingeënt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1842,Onderhandelaars Amerikaanse Congres bereiken akkoord over grens,Nieuwe shutdown lijkt afgewend na ‘principeakkoord’ over grensbeveiliging,Republikeinen en Democraten bereiken ‘principeakkoord’ over grensbeveiliging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
625,LIVE | Dijkhoff clasht met Wilders: ‘Stem op VVD is stem op GroenLinks’,"LIVE | Wilders: ‘Gefeliciteerd meneer Klaver, gecondoleerd Nederland'",LIVE | Hoe reageert de oppositie op onverwachte zwaai van Rutte?,LIVE | Wiebes: ‘Energierekening niet dit jaar al omlaag’,LIVE | Baudet botst met coalitie: ‘Deze klimaatwet vernietigt de koopkracht’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
3097,OVT-eindredacteur maakt excuses voor 'kolossale fout' ontslag Philip Freriks,VPRO nog één keer door stof om blunder beëindiging column Freriks en wéér kritiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5585,Ferrari ontslaat teambaas Arrivabene en kiest voor Binotto,'Technisch directeur Binotto vervangt teambaas Arrivabene bij Ferrari',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3588,Met pijlen gedode Duitsers lieten testament achter in gehuurde kamer,Nog twee lichamen met pijlen gevonden in Duitsland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2621,123456 weer hét slechtste wachtwoord van 2018,'123456 voor zesde jaar op rij meestgebruikte wachtwoord',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4554,'Amazon-medewerkers hadden ook toegang tot locatie Alexa-gebruikers',Medewerkers Amazon kunnen locatie Alexa-gebruikers achterhalen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4199,Mercedes-teambaas Wolff ziet prestaties Ferrari in Melbourne als incident,Ferrari ondanks teleurstellende GP Australië overtuigd van potentieel auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5321,Man die Sylvana Simons met dood bedreigde krijgt taakstraf,Doodsbedreiger Sylvana Simons krijgt taakstraf van veertig uur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
710,KLM schrapt 144 vluchten van en naar Schiphol vanwege slecht weer,Ruim honderd vluchten van en naar Schiphol geschrapt om slecht weer,Schiphol schrapt 120 vluchten wegens stormachtig herfstweer,"Het gaat de hele dag stevig waaien, vanavond kans op flinke windstoten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1595,Max van Weezel (1951-2019): zinnebeeld van de Haagse journalistiek,Journalist Max van Weezel (67) overleden,Met het Oog op Morgen herdenkt Max van Weezel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
677,Van Bommel benadert Robben voor terugkeer in Eindhoven,Van Bommel polst Robben voor terugkeer naar PSV,Robben blijft tot winterstop aan de kant,Geblesseerde Robben mist ook laatste duels van 2018 bij Bayern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
5861,Verdachten doden Scandinavische toeristen zweerden trouw aan IS,Negen aanhoudingen voor dood Scandinavische toeristen in Marokko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4793,Giel Beelen definitief veroordeeld wegens rijden onder invloed,Giel Beelen is rijbewijs kwijt na dronken rijden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
972,"Willem II zonder zieke Vrousai in halve finale beker, AZ ongewijzigd",Willem II klopt AZ in bizarre penaltyreeks en treft Ajax in bekerfinale,Willem II-captain Peters looft 'geweldige' supporters na bereiken finale,Balende Van den Brom spreekt van 'vervlogen droom' na uitschakeling AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
659,"Auto ramt stadhuis Harderwijk, bestuurder aangehouden","Auto rijdt tegen ingang gemeentehuis Harderwijk, bestuurder gevlucht","Auto ramt stadhuis Harderwijk, politie gaat uit van opzet",Politie denkt dat bestuurder met opzet op stadhuis Harderwijk inreed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
5244,Ouders geven bijna 10.000 euro per jaar uit aan eerstgeboren kind,Ouders besteden bijna 10.000 euro aan hun pasgeboren kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2909,1 miljoen kinderen getroffen door cycloon Idai,VS stuurt hulptroepen naar Mozambique na verwoestende cycloon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3854,Topman Warner Bros ontslagen nadat hij actrice rollen zou hebben gegeven in ruil voor seks,Warner Bros-topman Kevin Tsujihara ontslagen na seksschandaal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4936,Twitter-topman verdient 140 cent als vast salaris,"Twitter betaalt topman 1,40 dollar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3997,Sylvie eet chococrème zonder te knoeien en Sandra gaat jankend door het leven,Anne-Marie in corrigerend ondergoed en zo zag Anouk er vroeger uit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1038,"De nieuwe mecenas wil invloed op cultuursector, wen er maar aan",Domper voor Boijmans: filantropen trekken gift van tientallen miljoenen in,Droom en Daad ziet af van miljoenenschenking aan museum Boijmans,Gift van miljoenen euro’s voor verbouwing Museum Boijmans is onzeker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
