;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;n_articles;n_correct;comments
3813;'Rijscholen hebben verzekering en voorwaarden niet altijd op orde';Verzekering rijscholen niet altijd op orde;;;;;;;;;;;;;;2;2;
3849;Trump overweegt gesprek met Poetin af te blazen door situatie Oekraïne;Trump zegt ontmoeting met Poetin op G20 af vanwege situatie Oekraïne;;;;;;;;;;;;;;2;2;
1035;Nieuwe Revu trekt stukken sjoemelende journalist in;Nieuwe Revu trekt stukken in van op plagiaat betrapte journalist Peter Blasic;;;;;;;;;;;;;;2;2;
1780;Griepgolf is minder hevig dan voorgaande jaren;Al weer zeven weken griepepidemie, maar toch minder heftig dan vorig jaar;;;;;;;;;;;;;;2;2;
2382;Crisis bij Britse Labour: ‘Corbyn maakt van partij militante socialistische organisatie’;Het rommelt en rammelt bij Britse Labour, wee degene die Grote Leider Corbyn afvalt;;;;;;;;;;;;;;2;2;
315;Laagste aantal faillisementen van deze eeuw;Laagste aantal faillissementen in 17 jaar tijd;Vorig jaar gingen 3144 bedrijven failliet, het laagste aantal deze eeuw;;;;;;;;;;;;;3;3;
3345;Schiphol: groei naar 540.000 vluchten past binnen milieunormen;Schiphol: groei naar 540.000 vluchten past binnen milieunormen;;;;;;;;;;;;;;2;2;
1694;Britt Dekker kan niet wachten om Andalusisch dressuurpaard George op te halen;Paard dat Britt van John de Mol kreeg kan 'zweven';;;;;;;;;;;;;;2;2;
2475;‘Dramatisch jaar’: vertraging voor autorijder nam in 2018 fors toe;Vertraging in verkeer door files nam afgelopen jaar 20 procent toe;;;;;;;;;;;;;;2;2;
2172;Nuis zou het 'heel mooi' vinden om wereldrecord te rijden in Salt Lake City;‘Winnen is het belangrijkste, een wereldrecord is mooi’;;;;;;;;;;;;;;2;2;
16;Zelfbenoemde president Venezuela wil woensdag en zaterdag weer protesten;Verenigde Staten adviseren burgers te vertrekken uit Venezuela;Leger steunt presidentsclaim oppositieleider Venezuela niet;VS en Canada steunen plotse ‘machtsgreep’ Venezuela;Frankrijk, Spanje en Duitsland erkennen oppositieleider bij uitblijven verkiezingen Venezuela;Maduro roept hulp leger in na ‘staatsgreep’ oppositie Venezuela;President Venezuela sluit ambassade en consulaten in Verenigde Staten;;;;;;;;;7;3;
2328;Duitse lift wurgt hond;Duitse lift wurgt hond;;;;;;;;;;;;;;2;2;
1434;Vierde seizoen voor The Good Place;Komedieserie The Good Place krijgt vierde seizoen;;;;;;;;;;;;;;2;2;
2631;Kat lift vanuit Oostenrijk met vrachtwagen mee naar Nederland;Oostenrijkse kat lift honderden kilometers mee naar Nederland;;;;;;;;;;;;;;2;2;
3318;Defensie betaalt rekening van advocaat Marco Kroon niet langer;‘Agent hield bloedneus over aan Kroons kopstoot’;;;;;;;;;;;;;;2;1;
976;Clubicoon Hamsik verruilt Napoli na ruim elf jaar voor China;Kogel door de kerk: Napoli laat Hamsik naar China gaan;;;;;;;;;;;;;;2;2;
2487;Wouter Gudde volgt Hans Nijland op bij FC Groningen;Wouter Gudde volgt Nijland op als algemeen directeur FC Groningen;;;;;;;;;;;;;;2;2;
2828;Prins Bernhard belde zelf met het NIOD om te klagen;‘NIOD is een speelbal van politiek en koningshuis’;;;;;;;;;;;;;;2;2;
245;I amsterdam-letters binnen half uur verwijderd;I amsterdam-letters binnen half uur verwijderd;Letters I amsterdam definitief verwijderd van Museumplein;;;;;;;;;;;;;3;3;
681;De Kogel geëmotioneerd bij terugkeer in Galgenwaard;Geëmotioneerde De Kogel krijgt bij terugkeer in Galgenwaard cheque van 24.000 euro;;;;;;;;;;;;;;2;2;
104;'Jan van Veen moet per direct stoppen met Candlelight op Radio 5';Jan van Veen herkent zich niet in klachten Omroep MAX;Candlelight-presentator Jan van Veen ontslagen;Jan ‘Candlelight’ Van Veen noemt ontslag bij MAX grof schandaal;;;;;;;;;;;;4;2;
222;Van Baarle aan de leiding in klassement Herald Sun Tour;Van Baarle pakt leiderstrui in voorlaatste etappe Herald Sun Tour;Sky-renner Van Baarle pakt eindzege in Herald Sun Tour;;;;;;;;;;;;;3;2;
2605;Maduro: VS willen oliebedrijf Citgo stelen;VS kondigen sancties af tegen staatsoliebedrijf Venezuela, Maduro spreekt van diefstal;;;;;;;;;;;;;;2;2;
1503;Gemeente begint ontruiming ADM-terrein Westelijk Havengebied;Elf personen aangehouden bij ontruiming gekraakt ADM-terrein Westelijk Havengebied;;;;;;;;;;;;;;2;2;
2877;Pim Verbeek (62) stopt als bondscoach Oman en beëindigt carrière;Verbeek weg als bondscoach van Oman;;;;;;;;;;;;;;2;2;
3888;Publiek kan afscheid gaan nemen van in Capitool opgebaarde oud-president Bush;Publiek kan afscheid nemen van in Capitool opgebaarde oud-president Bush;;;;;;;;;;;;;;2;2;
3451;Foto's: ex-internationals spelen gelijk in traditioneel nieuwsjaarsduel;Ex-internationals spelen gelijk in traditioneel nieuwsjaarsduel;;;;;;;;;;;;;;2;2;
1042;Demonstrant gele hesjes dood door aanrijding;'Gele Hesjes'-demonstrant in Frankrijk omgekomen na aanrijding;;;;;;;;;;;;;;2;2;
3042;Zonderland pakt goud bij wereldbekerwedstrijd in Bakoe;Zonderland verovert bij World Cup in Bakoe goud op rekstok;;;;;;;;;;;;;;2;2;
763;De Luizenmoeder opnieuw kijkcijferkanon met 4,1 miljoen kijkers;Verliefde juf Ank goed voor 4,1 miljoen kijkers;;;;;;;;;;;;;;2;2;
3297;Kwart miljoen mensen tekenen kinderpardon Hofman;Tim Hofman biedt handtekeningen kinderpardon aan Tweede kamer aan;;;;;;;;;;;;;;2;2;
1350;Steeds meer baby's worden geboren in eenoudergezin;Bijna een op de tien baby’s wordt geboren in een eenoudergezin;;;;;;;;;;;;;;2;2;
2539;Ferry Doedens heeft een nieuwe liefde;Ferry Doedens heeft nieuwe relatie;;;;;;;;;;;;;;2;2;
1170;Vanillevla zonder vanille: producent past verpakking aan;FrieslandCampina past recept vanillevla aan na klacht;;;;;;;;;;;;;;2;2;
1613;Brieven Beatles voor tonnen te koop;Veilinghuis zoekt koper voor peperdure brieven The Beatles;;;;;;;;;;;;;;2;2;
3547;Aan deze vijf automobilistenstreken ergeren truckers zich het meest;Automobilisten opgelet: aan deze vijf zaken ergeren truckers zich het meest;;;;;;;;;;;;;;2;2;
3466;Meisje (18) van fiets getrokken en verkracht in bosjes Heusden;Meisje (18) van fiets getrokken en verkracht in bosjes Asten-Heusden;;;;;;;;;;;;;;2;2;
1861;Wellens wint eerste etappe in Ruta del Sol, Kruijswijk vijfde;Wellens wint eerste etappe in Ruta del Sol, Kruijswijk vijfde;;;;;;;;;;;;;;2;2;
